Type,Name,Status,Score /5,Author,Completed Date,Publisher,Publishing/Release Date,Link,Summary,Comments,Order
C# Playlist Pluralsight,Defensive Coding in C#,Finished,⭐️⭐️⭐️,Deborah Kurata,"February 18, 2022",Pluralsight,"January 1, 2020",https://app.pluralsight.com/library/courses/csharp-defensive-coding/table-of-contents,Validation responses,,
TypeScript Pluralsight Playlist,TypeScript: The Big Picture,Finished,⭐️⭐️⭐️⭐️⭐️,Simon Allardice,"February 19, 2022",Pluralsight,"November 21, 2019",https://app.pluralsight.com/library/courses/typescript-big-picture/table-of-contents,"This course is a technical introduction and overview of TypeScript — a language that “wraps around” JavaScript to help us avoid common issues and improves not just the code itself, but the entire developer experience writing JavaScript apps.",,1
edX,"CS50 Pointers, Structs, Call Stacks",Finished,⭐️⭐️⭐️⭐️⭐️,David Malan,"February 19, 2022",HarvardX,,https://learning.edx.org/course/course-v1:HarvardX+CS50+X/block-v1:HarvardX+CS50+X+type@sequential+block@1b03bde74913413c98f0bf75e8845784/block-v1:HarvardX+CS50+X+type@vertical+block@70aec04809c646e6ba1c3141e3440315,,,
Technical Book,The Self-Taught Programmer,Finished,⭐️⭐️⭐️,,"February 19, 2022",,,,Pyhon focused,,
Pluralsight,"WebAssembly: The Big Picture ",Finished,⭐️⭐️⭐️⭐️,Barry Luijbregts,"February 21, 2022",Pluralsight,"July 10, 2018",https://app.pluralsight.com/library/courses/web-assembly-big-picture/table-of-contents,"WebAssembly could revolutionize the web. In this course, you’ll learn what it is and why it is important. You’ll learn what creating applications with WebAssembly looks like, and how you can use it to create web applications using languages like C#.",,
C# Playlist Pluralsight,Object-Oriented Programming Fundamentals in C#,Finished,⭐️⭐️⭐️⭐️,Deborah Kurata,"February 27, 2022",Pluralsight,"March 1, 2019",https://app.pluralsight.com/library/courses/object-oriented-programming-fundamentals-csharp/table-of-contents,"This course takes you, step by step, through the principles and practices of object-oriented programming (OOP). The course provides you with the firm foundation in OOP that you need to progress to intermediate-level C# courses.",,
edX,CS50 Data Structures,Finished,⭐️⭐️⭐️⭐️⭐️,David Malan,"March 5, 2022",HarvardX,,https://learning.edx.org/course/course-v1:HarvardX+CS50+X/block-v1:HarvardX+CS50+X+type@sequential+block@01f55e1d753946868dd97799db5e2649/block-v1:HarvardX+CS50+X+type@vertical+block@77062a4762574d6aa199601fdc38398f,,,
TypeScript Pluralsight Playlist,Creating Object-oriented TypeScript Code,Finished,⭐️⭐️⭐️⭐️⭐️,Dan Wahlin,"March 5, 2022",Pluralsight,"November 26, 2019",https://app.pluralsight.com/library/courses/typescript-creating-object-oriented-code/table-of-contents,"This course dives into object-oriented TypeScript code, teaching you about object-oriented principles and how they can be applied to your TypeScript applications. Learn about objects, classes, inheritance, abstract classes, interfaces, and more.",,3
C# Playlist Pluralsight,TDD Test Driven Development in C#,Finished,⭐️⭐️⭐️⭐️,Thomas Huber,"March 9, 2022",Pluralsight,,https://app.pluralsight.com/library/courses/csharp-test-driven-development/table-of-contents,,,
Technical Book,"The Pragmatic Programmer: ",Finished,⭐️⭐️⭐️⭐️,David Thomas Andrew Hunt,"March 17, 2022",O'Reilly Media,,,,,
